workers,rapl_avg_joules,tdp_avg_joules,tdp_rapl_ratio,rapl_total_joules,tdp_total_joules,total_tdp_rapl_ratio,energy_difference_joules,percentage_difference
1,1135.2786764999998,367.33447637927725,0.3235632659918785,1135.2786764999998,367.33447637927725,0.3235632659918785,767.9442001207226,67.64367340081215
2,660.2875698,228.88917497462484,0.3466507404401918,1320.5751396,457.7783499492497,0.3466507404401918,431.3983948253752,65.33492595598082
3,505.8662913333333,228.00852068661283,0.45072882813686016,1517.598874,684.0255620598384,0.4507288281368601,277.8577706467205,54.92711718631399
4,387.7125161749999,135.72013893265722,0.3500535403695812,1550.8500646999996,542.8805557306289,0.3500535403695812,251.99237724234268,64.99464596304189
5,364.59321551999994,185.59918403906406,0.5090582494091499,1822.9660775999996,927.9959201953203,0.5090582494091499,178.9940314809359,49.09417505908502
6,318.5087751333333,153.06713987683358,0.480574325818047,1911.0526507999998,918.4028392610014,0.48057432581804693,165.44163525649972,51.94256741819531
7,399.3486013428572,171.02637433887926,0.428263361293323,2795.4402094,1197.1846203721548,0.428263361293323,228.32222700397793,57.1736638706677
8,273.75012495,115.20562084965597,0.4208422585038019,2190.0009996,921.6449667972478,0.4208422585038019,158.544504100344,57.9157741496198
9,372.77861274444456,158.00755239827782,0.42386431784539813,3355.007514700001,1422.0679715845004,0.4238643178453981,214.77106034616673,57.613568215460184
10,381.81712626999996,172.41070989133254,0.4515531075717469,3818.1712626999997,1724.1070989133254,0.4515531075717468,209.40641637866742,54.84468924282532
11,373.1295963090909,157.86934518175252,0.4230952107347112,4104.4255594,1736.5627969992777,0.4230952107347112,215.2602511273384,57.69047892652889
12,296.0203501999999,162.553675002571,0.5491300678914306,3552.2442023999984,1950.6441000308519,0.5491300678914306,133.46667519742888,45.08699321085694
13,347.49956951538474,153.80138929373237,0.4425944743132212,4517.494403700001,1999.4180608185209,0.44259447431322124,193.69818022165236,55.740552568677884
14,342.9860097285715,155.3117751025876,0.45282247875211157,4801.804136200001,2174.3648514362267,0.4528224787521116,187.6742346259839,54.717752124788845
15,346.8526637999999,156.36860347803312,0.4508213999711343,5202.789956999998,2345.529052170497,0.45082139997113435,190.48406032196678,54.91786000288658
16,282.6790062562499,147.61695331683717,0.5222069911446543,4522.864100099999,2361.8712530693947,0.5222069911446543,135.06205293941275,47.779300885534575
17,373.98352891764705,215.69522107829624,0.5767505903336009,6357.7199916,3666.818758331036,0.5767505903336009,158.2883078393508,42.32494096663991
18,329.63833400555575,198.44704903563022,0.6020144763633151,5933.490012100004,3572.046882641344,0.6020144763633151,131.19128496992553,39.798552363668485
19,268.8843972526314,177.33652201686624,0.659527007996113,5108.8035477999965,3369.3939183204584,0.659527007996113,91.54787523576516,34.0472992003887
20,286.76062952500007,189.80217321458272,0.6618836537253298,5735.212590500001,3796.0434642916543,0.6618836537253298,96.95845631041735,33.81163462746702
