workload_type,record_count,avg_execution_time,min_execution_time,max_execution_time,avg_aws_cost,min_aws_cost,max_aws_cost,avg_tdp,min_workers_tested,max_workers_tested
ml,288,21.892490244869954,2.0110619991341463,144.23907591581346,3.1012350093585823,0.09630590593026475,32.12570239671683,920.1140824307589,4,28
pi,60,17.648354768298162,5.11130308168275,42.04586110711098,4.004566673334826,1.3554286355396512,6.89486456205951,3099.8375939045673,4,28
titanic,58,22.377469831954816,3.904958141701562,76.53130124807359,3.5236848742533113,2.339010345301098,6.159766542146683,1294.114682863102,4,28
video,432,24.506646823093075,0.00041252916509454905,188.42604330182076,3.043717764625146,1.727073842828924e-07,38.86104854546547,877.6941317871123,4,28
