worker_count,record_count,avg_execution_time,std_execution_time,min_execution_time,max_execution_time,avg_aws_cost,avg_tdp
4,69,26.404495605043316,36.2998562186029,0.0004243633963844993,188.42604330182076,1.424149711790709,1304.8918193456632
5,69,25.305444273443303,36.0837733757872,0.0004410960457541726,188.16352564947945,1.627137367213605,1217.3045839597457
6,69,24.14400651034241,36.678491836085186,0.00043500553477894175,188.12532312529427,1.8291622169037196,1166.1479791190097
7,69,23.353871819830545,36.421424259329456,0.0004461895335804332,187.57953742146492,2.0491626689135574,1130.1545857527594
8,69,23.115307530187362,36.51703216837524,0.00042856823314319956,186.7889103293419,2.268976750020636,1123.0001042821818
9,69,22.706615599110293,36.28567399833215,0.00044306841763583094,185.1396102309227,2.469754695735787,1087.0017570570847
10,69,22.908527194322854,37.03092340730927,0.00041666897860440343,186.26666474342346,2.708267552742072,1074.2603685841532
12,71,22.589520284813798,36.39398012809433,0.00044133446433327413,185.82712903618813,3.0842718846493566,1027.853405203429
16,71,21.928855704688594,36.18844774916387,0.0004248835823752663,185.77247405052185,3.8889038996888785,997.3560580098181
20,71,21.348336232456763,35.86709122653328,0.00043337995355779475,186.1017928464072,4.641953264305674,960.3698306337722
24,71,21.052513728274928,36.36073704676705,0.00043507055802778763,187.74561078207833,5.45903909768064,954.885827192978
28,71,20.98165610219829,35.924133602550334,0.00041252916509454905,187.5619715154171,6.316019510732215,934.3955161921687
