architecture,record_count,avg_execution_time,avg_aws_cost,avg_tdp,avg_worker_time_execution,avg_processor_tdp_watts
ARM,317,28.28169477079981,3.271897949747193,627.3685539315153,31.54638477716653,100
X86,509,19.766816157866444,3.037641499162428,1300.947114406692,23.253932020334773,220
