architecture,avg_TDP,avg_cold_start,avg_compute,avg_cpu_cores_logical,avg_cpu_cores_physical,avg_ebpf_cpu_cycles,avg_ebpf_energy_cores,avg_ebpf_energy_from_cycles,avg_ebpf_energy_pkg,avg_ebpf_energy_total,avg_execution,avg_perf_energy_cores,avg_perf_energy_pkg,avg_perf_energy_total,avg_psutil_cpu_percent,avg_psutil_memory_percent,avg_rapl,avg_rapl_energy_cores,avg_rapl_energy_pkg,avg_rapl_energy_total,avg_read,avg_tdp,avg_time_consumption,avg_worker_time_execution,avg_write,aws_cpu,aws_cpu_type,backend,cost_aws_moneywise,cost_per_second,cpu,cpu_architecture,cpu_name,ebpf_available,ebpf_source,example,filename,max_TDP,max_cold_start,max_compute,max_cpu_cores_logical,max_cpu_cores_physical,max_ebpf_cpu_cycles,max_ebpf_energy_cores,max_ebpf_energy_from_cycles,max_ebpf_energy_pkg,max_ebpf_energy_total,max_execution,max_perf_energy_cores,max_perf_energy_pkg,max_perf_energy_total,max_psutil_cpu_percent,max_psutil_memory_percent,max_rapl,max_rapl_energy_cores,max_rapl_energy_pkg,max_rapl_energy_total,max_read,max_tdp,max_time_consumption,max_worker_time_execution,max_write,measurement_energy,memory,min_TDP,min_cold_start,min_compute,min_cpu_cores_logical,min_cpu_cores_physical,min_ebpf_cpu_cycles,min_ebpf_energy_cores,min_ebpf_energy_from_cycles,min_ebpf_energy_pkg,min_ebpf_energy_total,min_execution,min_perf_energy_cores,min_perf_energy_pkg,min_perf_energy_total,min_psutil_cpu_percent,min_psutil_memory_percent,min_rapl,min_rapl_energy_cores,min_rapl_energy_pkg,min_rapl_energy_total,min_read,min_tdp,min_time_consumption,min_worker_time_execution,min_write,perf_available,perf_source,processor_tdp_watts,processor_type,rapl_available,rapl_source,stage,total_TDP,total_cold_start,total_compute,total_cpu_cores_logical,total_cpu_cores_physical,total_ebpf_cpu_cycles,total_ebpf_energy_cores,total_ebpf_energy_from_cycles,total_ebpf_energy_pkg,total_ebpf_energy_total,total_execution,total_executions,total_perf_energy_cores,total_perf_energy_pkg,total_perf_energy_total,total_psutil_cpu_percent,total_psutil_memory_percent,total_rapl,total_rapl_energy_cores,total_rapl_energy_pkg,total_rapl_energy_total,total_read,total_tdp,total_time_consumption,total_worker_time_execution,total_write,workers
x86,0,2.2498154163360597,3.854360580444336,2.0,2.0,0,0.0,0,0.0,0,6.00116446018219,0.0,0,0,2.0300000000000002,0,0.0,0,0,0,1.4015465021133422,341.1745295817852,11.612882876,11.61288287639618,0.7452573776245117,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.12850438175201415,0.021413241147554364,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.5693306922912598,3.9495699405670166,2,2,0,0.0,0,0.0,0,3.854360580444336,0.0,0,0,3.6,0,0.0,0,0,0,1.6907081604003906,374.9777731561661,11.78378749,11.783787488937378,0.836003303527832,"null, null, null, psutil",512,0,2.047457695007324,3.780987501144409,2,2,0,0.0,0,0.0,0,0.7452573776245117,0.0,0,0,0.0,0,0.0,0,0,0,1.257986068725586,294.2411735987663,11.23921108,11.239211082458496,0.42349886894226074,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,8.999261665344239,15.417442321777344,8.0,8.0,0,0.0,0,0.0,0,24.00465784072876,10,0.0,0,0,8.120000000000001,0,0.0,0,0,0,5.606186008453369,1364.6981183271407,46.451531504,46.45153150558472,2.981029510498047,4
x86,0,2.183398985862732,3.933221459388733,2.0,2.0,0,0.0,0,0.0,0,6.226412868499756,0.0,0,0,2.4,0,0.0,0,0,0,1.4833484411239624,344.16762563371657,11.852059913000002,11.852059912681579,0.8098429679870606,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.16391700432002546,0.026326073741319532,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.5671865940093994,4.058532953262329,2,2,0,0.0,0,0.0,0,3.933221459388733,0.0,0,0,5.3,0,0.0,0,0,0,1.8416218757629395,364.5974744796753,12.27292538,12.27292537689209,0.8230769634246826,"null, null, null, psutil",512,0,2.0358405113220215,3.8819029331207275,2,2,0,0.0,0,0.0,0,0.8098429679870606,0.0,0,0,0.0,0,0.0,0,0,0,1.3381035327911377,330.7553389072418,11.72908902,11.72908902168274,0.7936153411865234,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,10.91699492931366,19.666107296943665,10.0,10.0,0,0.0,0,0.0,0,31.132064342498783,10,0.0,0,0,12.0,0,0.0,0,0,0,7.416742205619812,1720.838128168583,59.26029956500001,59.2602995634079,4.049214839935303,5
x86,0,2.2142285823822023,4.007861638069153,2.0,2.0,0,0.0,0,0.0,0,6.349837613105774,0.0,0,0,2.06,0,0.0,0,0,0,1.6052112579345703,349.12024358034137,12.052179979,12.052179980278016,0.7367647171020508,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.20043316051983837,0.0315650844528927,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.4990670680999756,4.056089878082275,2,2,0,0.0,0,0.0,0,4.007861638069153,0.0,0,0,3.7,0,0.0,0,0,0,1.9496276378631592,365.4035711669922,12.2760601,12.276060104370117,0.8197171688079834,"null, null, null, psutil",512,0,2.0584723949432373,3.9407870769500732,2,2,0,0.0,0,0.0,0,0.7367647171020508,0.0,0,0,0.0,0,0.0,0,0,0,1.4880869388580322,333.61986074924465,11.73376489,11.733764886856079,0.4423196315765381,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,13.285371494293214,24.04716982841492,12.0,12.0,0,0.0,0,0.0,0,38.099025678634646,10,0.0,0,0,12.36,0,0.0,0,0,0,9.631267547607422,2094.721461482048,72.313079874,72.3130798816681,4.420588302612305,6
x86,0,2.355055546760559,4.059470558166504,2.0,2.0,0,0.0,0,0.0,0,6.48311882019043,0.0,0,0,2.37,0,0.0,0,0,0,1.6790637969970703,345.9290719003677,11.987056731,11.987056732177734,0.7445844650268555,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.23684980971622474,0.03653331309902904,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.5911705493927,4.1356165409088135,2,2,0,0.0,0,0.0,0,4.059470558166504,0.0,0,0,5.3,0,0.0,0,0,0,1.9598305225372314,368.76204889774317,12.25586438,12.255864381790161,0.8591835498809814,"null, null, null, psutil",512,0,2.0820183753967285,3.922110080718994,2,2,0,0.0,0,0.0,0,0.7445844650268555,0.0,0,0,0.0,0,0.0,0,0,0,1.5362389087677002,333.1456154108048,11.21702409,11.217024087905884,0.43384408950805664,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,16.485388827323913,28.41629390716553,14.0,14.0,0,0.0,0,0.0,0,45.381831741333016,10,0.0,0,0,16.59,0,0.0,0,0,0,11.753446578979492,2421.5035033025742,83.909397117,83.90939712524414,5.212091255187988,7
x86,0,2.2336318254470826,4.112745451927185,2.0,2.0,0,0.0,0,0.0,0,6.6640941381454475,0.0,0,0,2.05,0,0.0,0,0,0,1.7265032291412354,358.2986990940571,12.260079885,12.260079884529114,0.8248454570770264,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.27423786673450473,0.04115155954426875,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.619807243347168,4.179816722869873,2,2,0,0.0,0,0.0,0,4.112745451927185,0.0,0,0,3.6,0,0.0,0,0,0,2.105156183242798,376.08354865551,12.75771904,12.757719039916992,0.882981538772583,"null, null, null, psutil",512,0,2.0356860160827637,4.038528680801392,2,2,0,0.0,0,0.0,0,0.8248454570770264,0.0,0,0,0.0,0,0.0,0,0,0,1.5619776248931885,336.81190318107605,11.73151875,11.731518745422363,0.7766323089599609,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,17.86905460357666,32.90196361541748,16.0,16.0,0,0.0,0,0.0,0,53.31275310516358,10,0.0,0,0,16.4,0,0.0,0,0,0,13.812025833129884,2866.389592752457,98.08063908,98.08063907623291,6.598763656616211,8
x86,0,2.4763901948928835,4.195767736434936,2.0,2.0,0,0.0,0,0.0,0,6.783122181892395,0.0,0,0,3.1100000000000003,0,0.0,0,0,0,1.9652057886123657,363.1092014012337,12.299283338,12.299283337593078,0.6221486568450928,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.31474551674866674,0.04640127485671461,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.63801908493042,4.294796705245972,2,2,0,0.0,0,0.0,0,4.195767736434936,0.0,0,0,5.4,0,0.0,0,0,0,2.2437310218811035,472.8732593917846,12.76605749,12.76605749130249,0.8271262645721436,"null, null, null, psutil",512,0,2.079981803894043,4.078476190567017,2,2,0,0.0,0,0.0,0,0.6221486568450928,0.0,0,0,1.8,0,0.0,0,0,0,1.618135690689087,285.15157626152035,12.21757483,12.217574834823608,0.4167594909667969,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,22.28751175403595,37.76190962791443,18.0,18.0,0,0.0,0,0.0,0,61.048099637031555,10,0.0,0,0,27.990000000000002,0,0.0,0,0,0,17.68685209751129,3267.9828126111033,110.693550042,110.6935500383377,5.5993379116058355,9
x86,0,2.3888148069381714,4.308981823921203,2.0,2.0,0,0.0,0,0.0,0,6.936619067192077,0.0,0,0,2.56,0,0.0,0,0,0,2.0326619386672973,380.7393955869675,12.405369948,12.40536994934082,0.5949753046035766,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.35915363502383235,0.05177646798027453,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.5916554927825928,4.6717236042022705,2,2,0,0.0,0,0.0,0,4.308981823921203,0.0,0,0,5.4,0,0.0,0,0,0,2.2571163177490234,469.54842862606057,12.78953671,12.789536714553833,0.8475902080535889,"null, null, null, psutil",512,0,2.025045394897461,4.12127161026001,2,2,0,0.0,0,0.0,0,0.5949753046035766,0.0,0,0,0.0,0,0.0,0,0,0,1.8137476444244385,347.1848761367798,11.75369263,11.753692626953125,0.41263580322265625,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,23.888148069381714,43.089818239212036,20.0,20.0,0,0.0,0,0.0,0,69.36619067192078,10,0.0,0,0,25.6,0,0.0,0,0,0,20.326619386672974,3807.3939558696748,124.05369948,124.0536994934082,5.949753046035767,10
x86,0,2.5499017238616943,4.424480009078979,2.0,2.0,0,0.0,0,0.0,0,7.251239681243897,0.0,0,0,2.08,0,0.0,0,0,0,2.2500244140625,381.2161271753311,12.807512212,12.807512211799622,0.576735258102417,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.4425364905080795,0.06102908053815229,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.8950207233428955,4.7407636642456055,2,2,0,0.0,0,0.0,0,4.424480009078979,0.0,0,0,5.3,0,0.0,0,0,0,2.5192477703094482,426.699024591446,13.28452754,13.28452754020691,0.8061642646789551,"null, null, null, psutil",512,0,2.433906316757202,4.3008809089660645,2,2,0,0.0,0,0.0,0,0.576735258102417,0.0,0,0,0.0,0,0.0,0,0,0,1.979555368423462,359.22770629882814,12.73348904,12.733489036560059,0.4217979907989502,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,30.598820686340332,53.09376010894775,24.0,24.0,0,0.0,0,0.0,0,87.01487617492677,10,0.0,0,0,24.96,0,0.0,0,0,0,27.000292968750003,4574.593526103973,153.69014654400002,153.69014654159548,6.920823097229004,12
x86,0,2.3997743129730225,4.81985608736674,2.0,2.0,0,0.0,0,0.0,0,8.000667889912924,0.0,0,0,2.0777777777777775,0,0.0,0,0,0,2.654751433266534,376.3012017159992,13.543703978888889,13.543703979916042,0.5260603692796495,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.6427760078112286,0.08034029366743585,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.6749353408813477,5.082298755645752,2,2,0,0.0,0,0.0,0,4.81985608736674,0.0,0,0,3.6,0,0.0,0,0,0,3.240642547607422,426.68975499629977,14.25347233,14.253472328186035,0.9003443717956543,"null, null, null, psutil",512,0,2.0533394813537598,4.53816819190979,2,2,0,0.0,0,0.0,0,0.5260603692796495,0.0,0,0,0.0,0,0.0,0,0,0,2.1827495098114014,335.52673860549925,12.72865939,12.728659391403198,0.4046964645385742,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,38.39638900756836,77.11769739786784,32.0,32.0,0,0.0,0,0.0,0,128.01068623860678,9,0.0,0,0,33.24444444444444,0,0.0,0,0,0,42.47602293226454,6020.819227455987,216.69926366222222,216.69926367865668,8.416965908474392,16
x86,0,2.421042389339871,5.051013496186998,2.0,2.0,0,0.0,0,0.0,0,8.906477000978258,0.0,0,0,2.2666666666666666,0,0.0,0,0,0,3.0572267373402915,387.77723618057036,14.312611156666666,14.312611156039768,0.7982367674509684,,type:lambda-function|arch:x86_64|lambda:True|mem:512,aws,0.8420039498143727,0.09453838478692414,4,x86_64,Intel(R) Xeon(R) Processor @ 2.50GHz,False,,ml,ml_stage3_aws_512Mb_x86_analysis.json,0,2.5764856338500977,5.400264501571655,2,2,0,0.0,0,0.0,0,5.051013496186998,0.0,0,0,3.6,0,0.0,0,0,0,3.279721975326538,416.6219791531563,14.79541564,14.79541563987732,0.8789420127868652,"null, null, null, psutil",512,0,2.109712600708008,4.88629937171936,2,2,0,0.0,0,0.0,0,0.7982367674509684,0.0,0,0,1.8,0,0.0,0,0,0,2.7819793224334717,332.1357687473297,13.76475167,13.764751672744751,0.4387803077697754,False,,220,type:lambda-function|arch:x86_64|lambda:True|mem:512,False,,stage3,0,48.42084778679742,101.02026992373996,40.0,40.0,0,0.0,0,0.0,0,178.12954001956516,9,0.0,0,0,45.33333333333333,0,0.0,0,0,0,61.14453474680583,7755.544723611407,286.2522231333333,286.25222312079535,15.964735349019367,20
